Userid,Gender,AgeGroup,Hobbies,Profession,Seasons,Listing ID,CountOfListingID,AgeGroup18-30_weight,AgeGroup30-50_Weight,AgeGroup50+_weight,Seasons_Summer_weight,Seasons_Winter_weight,Seasons_Spring_weight,Seasons_Fall_weight,Profession_IT_Professional_weight,Profession_Professor_weight,Profession_Student_weight,Profession_Contractor_weight,Hobbies_Indoor_weight,Hobbies_outdoor_weight,Room_type,Street,house_rules,Price_per_day,amenities,property_type,review_score
2513,Male,30-50,Indoors,IT Professional,Fall,2495446,18,0.277777777777778,0.222222222222222,0.5,0.222222222222222,0.222222222222222,0.277777777777778,0.277777777777778,0.333333333333333,0.222222222222222,0.222222222222222,0.222222222222222,0.388888888888889,0.611111111111111,Private room,"Dillenburger Stra'Ùe, Berlin, Berlin 14199, Germany",,20,"{TV,Internet,""Wireless Internet"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,""First Aid Kit"",""Fire Extinguisher"",Shampoo}",Apartment,9
2514,Male,18-30,Indoors,Student,Winter,1021297,18,0.444444444444444,0.277777777777778,0.277777777777778,0.222222222222222,5.55555555555556e-002,0.388888888888889,0.333333333333333,0.166666666666667,0.333333333333333,0.444444444444444,5.55555555555556e-002,0.333333333333333,0.666666666666667,Entire home/apt,"Laubacher Stra'Ùe, Berlin, Berlin 14197, Germany",,54,"{""Wireless Internet"",Breakfast,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating}",Apartment,9
2515,Female,18-30,Outdoors,Student,Spring,2758907,18,0.5,0.111111111111111,0.388888888888889,0.222222222222222,0.222222222222222,0.333333333333333,0.222222222222222,5.55555555555556e-002,0.333333333333333,0.444444444444444,0.166666666666667,0.444444444444444,0.555555555555556,Private room,"Steinr'_ckweg, Berlin, Berlin 14197, Germany",,50,"{Internet,""Wireless Internet"",""Elevator in Building"",Essentials,Shampoo}",Apartment,10
2516,Female,30-50,Indoors,IT Professional,Spring,4824906,13,0.384615384615385,0.384615384615385,0.230769230769231,0.230769230769231,0.384615384615385,0.230769230769231,0.153846153846154,0.153846153846154,0.384615384615385,0.307692307692308,0.153846153846154,0.230769230769231,0.769230769230769,Entire home/apt,"North Hamilton Avenue, Chicago, IL 60625, United States",,130,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,Essentials}",Apartment,9
2517,Male,30-50,Indoors,IT Professional,Spring,1493526,13,0.384615384615385,0.307692307692308,0.307692307692308,0.230769230769231,0.384615384615385,0.153846153846154,0.230769230769231,0.461538461538462,0.230769230769231,0.153846153846154,0.153846153846154,0.538461538461538,0.461538461538462,Entire home/apt,"N Ravenswood Avenue, Chicago, IL 60640, United States",,130,"{Internet,""Wireless Internet"",Heating}",Apartment,9
2518,Female,18-30,Indoors,Student,Fall,3750388,13,0.384615384615385,0.230769230769231,0.384615384615385,0.230769230769231,0.461538461538462,7.69230769230769e-002,0.230769230769231,0.307692307692308,0.230769230769231,0.230769230769231,0.230769230769231,0.769230769230769,0.230769230769231,Entire home/apt,"West Sunnyside Avenue, Chicago, IL 60625, United States",,100,"{Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Essentials,Shampoo}",Apartment,10
2519,Female,18-30,Indoors,Student,Summer,1685758,13,0.461538461538462,0.384615384615385,0.153846153846154,0.230769230769231,0.384615384615385,7.69230769230769e-002,0.307692307692308,0.153846153846154,0.153846153846154,0.307692307692308,0.384615384615385,0.461538461538462,0.538461538461538,Entire home/apt,"West Winona Street, Chicago, IL 60625, United States",,85,"{Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,9
2520,Male,50+,Outdoors,Contractor,Summer,144369,13,0.230769230769231,0.384615384615385,0.384615384615385,0.307692307692308,0.230769230769231,0.307692307692308,0.153846153846154,0.153846153846154,0.461538461538462,7.69230769230769e-002,0.307692307692308,0.461538461538462,0.538461538461538,Private room,"North Ravenswood Avenue, Chicago, IL 60640, United States",,50,"{Internet,""Wireless Internet"",Kitchen,""Smoking Allowed"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo}",Apartment,9
2521,Female,30-50,Outdoors,IT Professional,Summer,1816056,13,7.69230769230769e-002,0.769230769230769,0.153846153846154,0.230769230769231,0.153846153846154,0.307692307692308,0.307692307692308,0.230769230769231,0.307692307692308,0,0.461538461538462,0.384615384615385,0.615384615384615,Entire home/apt,"North Seeley Avenue, Chicago, IL 60625, United States",,97,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,Shampoo}",Apartment,9
2522,Female,30-50,Outdoors,IT Professional,Winter,11326229,21,0.428571428571429,0.380952380952381,0.19047619047619,0.333333333333333,4.76190476190476e-002,0.285714285714286,0.333333333333333,0.142857142857143,0.19047619047619,0.428571428571429,0.238095238095238,0.523809523809524,0.476190476190476,Entire home/apt,"Colorado Avenue, Santa Monica, CA 90401, United States",,175,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.host",Apartment,10
2523,Male,30-50,Indoors,IT Professional,Fall,1751814,21,0.238095238095238,0.428571428571429,0.333333333333333,0.19047619047619,0.285714285714286,0.380952380952381,0.142857142857143,0.142857142857143,0.428571428571429,0.238095238095238,0.19047619047619,0.476190476190476,0.523809523809524,Private room,"18th Street, Santa Monica, CA 90403, United States",,59,"{""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Family/Kid Friendly"",Shampoo,Iron,""Laptop Friendly Workspace""}",House,9
2524,Male,18-30,Outdoors,Student,Summer,3584896,21,0.333333333333333,0.476190476190476,0.19047619047619,0.333333333333333,0.333333333333333,0.142857142857143,0.19047619047619,0.19047619047619,0.333333333333333,0.333333333333333,0.142857142857143,0.476190476190476,0.523809523809524,Entire home/apt,"17th Street, Santa Monica, CA, United States",,995,"{""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,Essentials}",House,9
2525,Female,30-50,Indoors,IT Professional,Summer,10527380,21,0.285714285714286,0.285714285714286,0.428571428571429,0.333333333333333,0.238095238095238,4.76190476190476e-002,0.380952380952381,0.333333333333333,0.238095238095238,0.285714285714286,0.142857142857143,0.619047619047619,0.380952380952381,Entire home/apt,"Santa Monica Boulevard, Santa Monica, CA 90401, United States",,375,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer""}",House,
2526,Male,18-30,Indoors,Student,Spring,11041854,21,0.285714285714286,0.380952380952381,0.333333333333333,0.19047619047619,0.333333333333333,0.285714285714286,0.19047619047619,0.238095238095238,0.238095238095238,0.285714285714286,0.238095238095238,0.428571428571429,0.571428571428571,Private room,"18th Street, Santa Monica, CA 90403, United States",,79,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",House,9
2527,Female,50+,Outdoors,Contractor,Fall,12291609,21,0.238095238095238,0.380952380952381,0.380952380952381,0.428571428571429,0.19047619047619,9.52380952380952e-002,0.285714285714286,0.19047619047619,0.238095238095238,0.238095238095238,0.333333333333333,0.238095238095238,0.761904761904762,Entire home/apt,"Berkeley Street, Santa Monica, CA 90404, United States",,200,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),""Other pet(s)"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""Lock on Bedr",Other,10
2528,Male,50+,Indoors,Contractor,Summer,11760628,21,0.333333333333333,0.19047619047619,0.476190476190476,0.19047619047619,0.19047619047619,0.238095238095238,0.380952380952381,0.285714285714286,0.285714285714286,0.333333333333333,9.52380952380952e-002,0.619047619047619,0.380952380952381,Private room,"2nd Street, Santa Monica, CA 90403, United States",,90,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""",House,10
2529,Male,30-50,Indoors,IT Professional,Winter,12543773,21,0.428571428571429,0.333333333333333,0.238095238095238,9.52380952380952e-002,0.428571428571429,0.285714285714286,0.19047619047619,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0.571428571428571,0.428571428571429,Private room,"Marine Street, Santa Monica, CA 90405, United States",,97,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",House,
2530,Male,50+,Indoors,Contractor,Summer,1466880,21,0.333333333333333,0.380952380952381,0.285714285714286,0.428571428571429,0.285714285714286,0.142857142857143,0.142857142857143,0.238095238095238,0.238095238095238,0.333333333333333,0.19047619047619,0.571428571428571,0.428571428571429,Shared room,"19th Street, Santa Monica, CA 90404, United States",,50,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",House,9
2531,Female,18-30,Outdoors,Student,Winter,3040265,21,0.333333333333333,0.476190476190476,0.19047619047619,0.285714285714286,0.476190476190476,9.52380952380952e-002,0.142857142857143,0.19047619047619,0.285714285714286,0.333333333333333,0.19047619047619,0.571428571428571,0.428571428571429,Private room,"9th St, Santa Monica, CA 90403, United States",,58,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hai",House,10
2532,Female,50+,Outdoors,Contractor,Summer,1314537,18,0.333333333333333,0.166666666666667,0.5,0.277777777777778,0.222222222222222,0.277777777777778,0.222222222222222,0.222222222222222,0.277777777777778,0.277777777777778,0.222222222222222,0.388888888888889,0.611111111111111,Entire home/apt,"Markobrunner Stra'Ùe, Berlin, Berlin 14197, Germany",,60,"{TV,Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",Apartment,
2533,Female,50+,Indoors,Contractor,Spring,1216600,18,0.222222222222222,0.277777777777778,0.5,0.111111111111111,0.277777777777778,0.166666666666667,0.444444444444444,0.277777777777778,0.277777777777778,0.222222222222222,0.222222222222222,0.444444444444444,0.555555555555556,Entire home/apt,"Laubacher Stra'Ùe, Berlin, Berlin 14197, Germany",,65,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Safety Card"",Shampoo}",Apartment,9
2534,Female,18-30,Outdoors,Student,Fall,2495288,18,0.277777777777778,0.388888888888889,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333,0.444444444444444,0.277777777777778,0.222222222222222,0.277777777777778,0.222222222222222,0.333333333333333,0.666666666666667,Entire home/apt,"Binger Stra'Ùe, Berlin, Berlin 14197, Germany",,59,"{""Elevator in Building"",""Family/Kid Friendly""}",Apartment,9
2535,Male,50+,Outdoors,Contractor,Fall,3107710,18,0.277777777777778,0.277777777777778,0.444444444444444,0.166666666666667,0.111111111111111,0.388888888888889,0.333333333333333,0.277777777777778,0.277777777777778,0.222222222222222,0.222222222222222,0.388888888888889,0.611111111111111,Entire home/apt,"Laubenheimer Stra'Ùe, Berlin, Berlin 14197, Germany",,65,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",""Family/Kid Friendly"",Washer,Essentials}",Apartment,
2536,Female,18-30,Outdoors,Student,Fall,1021297,18,0.444444444444444,0.277777777777778,0.277777777777778,0.222222222222222,5.55555555555556e-002,0.388888888888889,0.333333333333333,0.166666666666667,0.333333333333333,0.444444444444444,5.55555555555556e-002,0.333333333333333,0.666666666666667,Entire home/apt,"Laubacher Stra'Ùe, Berlin, Berlin 14197, Germany",,54,"{""Wireless Internet"",Breakfast,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating}",Apartment,9
2537,Female,18-30,Outdoors,Student,Summer,2126643,13,0.307692307692308,0.153846153846154,0.538461538461538,0.615384615384615,0.307692307692308,0,7.69230769230769e-002,0.153846153846154,0.384615384615385,0.230769230769231,0.230769230769231,0.538461538461538,0.461538461538462,Private room,"North Hoyne Avenue, Chicago, IL 60625, United States",,65,"{Internet,""Wireless Internet"",Kitchen,""Pets Allowed"",Heating,Washer,Shampoo}",Apartment,9
2538,Male,30-50,Indoors,IT Professional,Spring,1315562,13,0.230769230769231,0.461538461538462,0.307692307692308,0.230769230769231,0,0.230769230769231,0.538461538461538,0.307692307692308,0.153846153846154,7.69230769230769e-002,0.461538461538462,0.461538461538462,0.538461538461538,Private room,"Hancock Street, Boston, MA 02114, United States",,110,"{TV,Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly""}",Apartment,10
2539,Male,18-30,Indoors,Student,Fall,1160458,13,0.384615384615385,0.461538461538462,0.153846153846154,7.69230769230769e-002,0.615384615384615,7.69230769230769e-002,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.307692307692308,0.461538461538462,0.538461538461538,Entire home/apt,"Emerson Place, Boston, MA 02114, United States",,569,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Hot Tub"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Fire Extinguisher"",Essentials,Shampoo}",Apartment,9
2540,Female,30-50,Indoors,IT Professional,Fall,1296116,13,0.461538461538462,0.384615384615385,0.153846153846154,0.538461538461538,0,0.307692307692308,0.153846153846154,0.230769230769231,0.384615384615385,0.307692307692308,7.69230769230769e-002,0.538461538461538,0.461538461538462,Entire home/apt,"Emerson Place, Boston, MA 02114, United States",,277,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating}",Apartment,9
2541,Female,50+,Outdoors,Contractor,Fall,340991,13,0.538461538461538,0.153846153846154,0.307692307692308,0.307692307692308,0.230769230769231,0.230769230769231,0.230769230769231,0.153846153846154,0.230769230769231,0.384615384615385,0.230769230769231,0.384615384615385,0.615384615384615,Entire home/apt,"Emerson Place, Boston, MA 02114, United States",,177,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating}",Apartment,9
2542,Female,50+,Outdoors,Contractor,Winter,1940339,13,0.384615384615385,0.384615384615385,0.230769230769231,7.69230769230769e-002,0.538461538461538,0.230769230769231,0.153846153846154,7.69230769230769e-002,0.230769230769231,0.307692307692308,0.384615384615385,0.538461538461538,0.461538461538462,Entire home/apt,"Beacon Street, Boston, MA 02116, United States",,389,"{TV,""Cable TV"",Kitchen,Heating,Washer,Dryer,Essentials}",Apartment,10
2543,Female,30-50,Indoors,IT Professional,Winter,1274092,13,0.230769230769231,0.384615384615385,0.384615384615385,7.69230769230769e-002,0.230769230769231,0.153846153846154,0.538461538461538,0.307692307692308,0.307692307692308,0.153846153846154,0.230769230769231,0.846153846153846,0.153846153846154,Private room,"Myrtle Street, Boston, MA 02114, United States",,118,"{TV,Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Cat(s),""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,10
2544,Male,18-30,Outdoors,Student,Fall,1146795,13,0.230769230769231,0.307692307692308,0.461538461538462,0.384615384615385,7.69230769230769e-002,0.230769230769231,0.307692307692308,0.230769230769231,0.384615384615385,0.153846153846154,0.230769230769231,0.615384615384615,0.384615384615385,Entire home/apt,"Beacon Street, Boston, MA 02116, United States",,239,"{TV,""Cable TV"",Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",Apartment,10
2545,Female,30-50,Indoors,IT Professional,Spring,2063832,13,0.230769230769231,0.538461538461538,0.230769230769231,0.153846153846154,0.384615384615385,0.461538461538462,0,0.538461538461538,0.153846153846154,7.69230769230769e-002,0.230769230769231,0.538461538461538,0.461538461538462,Entire home/apt,"Myrtle Street, Boston, MA 02114, United States",,99,"{TV,Internet,""Wireless Internet"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer}",Apartment,10
2546,Female,18-30,Indoors,Student,Spring,1211062,13,0.538461538461538,0.230769230769231,0.230769230769231,0.230769230769231,0.384615384615385,0.384615384615385,0,0.230769230769231,0.230769230769231,0.384615384615385,0.153846153846154,0.307692307692308,0.692307692307692,Entire home/apt,"Pinckney Street, Boston, MA 02114, United States",,230,"{TV,""Wireless Internet"",Kitchen,Washer}",Apartment,9
2547,Male,50+,Indoors,Contractor,Summer,11326229,21,0.428571428571429,0.380952380952381,0.19047619047619,0.333333333333333,4.76190476190476e-002,0.285714285714286,0.333333333333333,0.142857142857143,0.19047619047619,0.428571428571429,0.238095238095238,0.523809523809524,0.476190476190476,Entire home/apt,"Colorado Avenue, Santa Monica, CA 90401, United States",,175,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.host",Apartment,10
2548,Male,18-30,Outdoors,Student,Spring,1758811,21,0.238095238095238,0.571428571428571,0.19047619047619,0.19047619047619,0.238095238095238,0.333333333333333,0.238095238095238,0.285714285714286,0.285714285714286,0.238095238095238,0.19047619047619,0.428571428571429,0.571428571428571,Private room,"Hill St, Santa Monica, CA 90405, United States",,125,"{Internet,""Wireless Internet"",""Smoking Allowed"",Gym,Breakfast,""Pets live on this property"",Cat(s),""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit""}",Camper/RV,10
2549,Female,30-50,Indoors,IT Professional,Fall,1751814,21,0.238095238095238,0.428571428571429,0.333333333333333,0.19047619047619,0.285714285714286,0.380952380952381,0.142857142857143,0.142857142857143,0.428571428571429,0.238095238095238,0.19047619047619,0.476190476190476,0.523809523809524,Private room,"18th Street, Santa Monica, CA 90403, United States",,59,"{""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",""Free Parking on Premises"",""Pets live on this property"",Dog(s),Cat(s),""Family/Kid Friendly"",Shampoo,Iron,""Laptop Friendly Workspace""}",House,9
2550,Male,50+,Indoors,Contractor,Spring,11378131,21,0.333333333333333,0.238095238095238,0.428571428571429,0.285714285714286,0.19047619047619,0.285714285714286,0.238095238095238,0.380952380952381,0.19047619047619,0.333333333333333,9.52380952380952e-002,0.714285714285714,0.285714285714286,Private room,"23rd Street, Santa Monica, CA 90405, United States",,80,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,""Hair Dryer"",Iron,""Laptop Friendly Workspace""",House,8
2551,Male,50+,Outdoors,Contractor,Summer,10527380,21,0.285714285714286,0.285714285714286,0.428571428571429,0.333333333333333,0.238095238095238,4.76190476190476e-002,0.380952380952381,0.333333333333333,0.238095238095238,0.285714285714286,0.142857142857143,0.619047619047619,0.380952380952381,Entire home/apt,"Santa Monica Boulevard, Santa Monica, CA 90401, United States",,375,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Hangers,""Hair Dryer""}",House,
2552,Female,30-50,Indoors,IT Professional,Winter,11041854,21,0.285714285714286,0.380952380952381,0.333333333333333,0.19047619047619,0.333333333333333,0.285714285714286,0.19047619047619,0.238095238095238,0.238095238095238,0.285714285714286,0.238095238095238,0.428571428571429,0.571428571428571,Private room,"18th Street, Santa Monica, CA 90403, United States",,79,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",House,9
2553,Female,18-30,Outdoors,Student,Fall,11760628,21,0.333333333333333,0.19047619047619,0.476190476190476,0.19047619047619,0.19047619047619,0.238095238095238,0.380952380952381,0.285714285714286,0.285714285714286,0.333333333333333,9.52380952380952e-002,0.619047619047619,0.380952380952381,Private room,"2nd Street, Santa Monica, CA 90403, United States",,90,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,""24-Hour Check-in"",Hangers,""",House,10
2554,Male,50+,Indoors,Contractor,Winter,2583104,21,0.428571428571429,0.380952380952381,0.19047619047619,0.428571428571429,0.238095238095238,0.142857142857143,0.19047619047619,0.142857142857143,0.19047619047619,0.428571428571429,0.238095238095238,0.571428571428571,0.428571428571429,Private room,"5th St, Santa Monica, CA 90403, United States",,70,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",House,10
2555,Female,18-30,Indoors,Student,Fall,12543773,21,0.428571428571429,0.333333333333333,0.238095238095238,9.52380952380952e-002,0.428571428571429,0.285714285714286,0.19047619047619,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0.571428571428571,0.428571428571429,Private room,"Marine Street, Santa Monica, CA 90405, United States",,97,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",House,
2556,Female,30-50,Indoors,IT Professional,Summer,1466880,21,0.333333333333333,0.380952380952381,0.285714285714286,0.428571428571429,0.285714285714286,0.142857142857143,0.142857142857143,0.238095238095238,0.238095238095238,0.333333333333333,0.19047619047619,0.571428571428571,0.428571428571429,Shared room,"19th Street, Santa Monica, CA 90404, United States",,50,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Pool,Kitchen,""Free Parking on Premises"",""Hot Tub"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",House,9
2557,Male,18-30,Outdoors,Student,Winter,1314537,18,0.333333333333333,0.166666666666667,0.5,0.277777777777778,0.222222222222222,0.277777777777778,0.222222222222222,0.222222222222222,0.277777777777778,0.277777777777778,0.222222222222222,0.388888888888889,0.611111111111111,Entire home/apt,"Markobrunner Stra'Ùe, Berlin, Berlin 14197, Germany",,60,"{TV,Internet,""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron}",Apartment,
2558,Male,50+,Outdoors,Contractor,Fall,1216600,18,0.222222222222222,0.277777777777778,0.5,0.111111111111111,0.277777777777778,0.166666666666667,0.444444444444444,0.277777777777778,0.277777777777778,0.222222222222222,0.222222222222222,0.444444444444444,0.555555555555556,Entire home/apt,"Laubacher Stra'Ùe, Berlin, Berlin 14197, Germany",,65,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Safety Card"",Shampoo}",Apartment,9
2559,Male,50+,Indoors,Contractor,Summer,2495288,18,0.277777777777778,0.388888888888889,0.333333333333333,0.111111111111111,0.111111111111111,0.333333333333333,0.444444444444444,0.277777777777778,0.222222222222222,0.277777777777778,0.222222222222222,0.333333333333333,0.666666666666667,Entire home/apt,"Binger Stra'Ùe, Berlin, Berlin 14197, Germany",,59,"{""Elevator in Building"",""Family/Kid Friendly""}",Apartment,9
2560,Male,50+,Outdoors,Contractor,Spring,2495446,18,0.277777777777778,0.222222222222222,0.5,0.222222222222222,0.222222222222222,0.277777777777778,0.277777777777778,0.333333333333333,0.222222222222222,0.222222222222222,0.222222222222222,0.388888888888889,0.611111111111111,Private room,"Dillenburger Stra'Ùe, Berlin, Berlin 14199, Germany",,20,"{TV,Internet,""Wireless Internet"",""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,""First Aid Kit"",""Fire Extinguisher"",Shampoo}",Apartment,9
2561,Male,30-50,Outdoors,IT Professional,Spring,1021297,18,0.444444444444444,0.277777777777778,0.277777777777778,0.222222222222222,5.55555555555556e-002,0.388888888888889,0.333333333333333,0.166666666666667,0.333333333333333,0.444444444444444,5.55555555555556e-002,0.333333333333333,0.666666666666667,Entire home/apt,"Laubacher Stra'Ùe, Berlin, Berlin 14197, Germany",,54,"{""Wireless Internet"",Breakfast,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating}",Apartment,9
2562,Male,50+,Indoors,Contractor,Spring,1690388,13,0.307692307692308,0.230769230769231,0.461538461538462,0.230769230769231,0.153846153846154,0.230769230769231,0.384615384615385,0.153846153846154,7.69230769230769e-002,0.307692307692308,0.461538461538462,0.538461538461538,0.461538461538462,Private room,"W Hutchinson St, Chicago, IL 60618, United States",,95,"{TV,""Cable TV"",""Wireless Internet"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,Washer,""Smoke Detector"",""Carbon Monoxide Detector""}",Apartment,10
2563,Male,18-30,Outdoors,Student,Spring,1078945,13,0.461538461538462,0.384615384615385,0.153846153846154,0.153846153846154,0.230769230769231,0.153846153846154,0.461538461538462,7.69230769230769e-002,0.384615384615385,0.384615384615385,0.153846153846154,0.538461538461538,0.461538461538462,Private room,"North Hoyne Avenue, Chicago, IL 60625, United States",,70,"{""Cable TV"",""Wireless Internet"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",Apartment,8
